hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps)
0, 60.00000, 7292.83, 7218.52, 7249.49, 15.614, 7.6465, 6.94627
0, 120.00000, 7292.22, 7219.89, 7251.94, 15.576, 7.64172, 6.87615
0, 180.00000, 7291.09, 7221.29, 7254.54, 15.5551, 7.63969, 6.79842
0, 240.00000, 7289.57, 7222.69, 7257.16, 15.5496, 7.639, 6.71676
0, 300.00000, 7287.77, 7224.08, 7259.64, 15.5592, 7.63851, 6.63546
0, 360.00000, 7285.82, 7225.44, 7261.81, 15.5831, 7.63691, 6.55888
0, 420.00000, 7283.82, 7226.75, 7263.51, 15.6201, 7.63279, 6.49126
0, 480.00000, 7281.91, 7228, 7264.6, 15.6688, 7.62474, 6.43651
0, 540.00000, 7280.22, 7229.2, 7264.95, 15.7274, 7.61148, 6.398
0, 600.00000, 7278.84, 7230.34, 7264.49, 15.7939, 7.59193, 6.37846
0, 660.00000, 7277.89, 7231.42, 7263.14, 15.8659, 7.56529, 6.37983
0, 720.00000, 7278.21, 7232.86, 7259.47, 15.9483, 7.51057, 6.43182
0, 780.00000, 7279.04, 7234.21, 7255.02, 16.0301, 7.45021, 6.50379
0, 840.00000, 7280.35, 7235.42, 7249.92, 16.1078, 7.38622, 6.5932
0, 900.00000, 7282.01, 7236.47, 7244.52, 16.1801, 7.32119, 6.69431
0, 960.00000, 7283.97, 7237.34, 7238.98, 16.2437, 7.25736, 6.8034
0, 1020.00000, 7286.13, 7238.01, 7233.54, 16.296, 7.19713, 6.91553
0, 1080.00000, 7288.4, 7238.45, 7228.46, 16.3351, 7.14279, 7.02553
0, 1140.00000, 7290.59, 7238.69, 7224.02, 16.361, 7.09631, 7.12731
0, 1200.00000, 7292.74, 7238.68, 7220.32, 16.3701, 7.05972, 7.21803
0, 1260.00000, 7294.67, 7238.44, 7217.61, 16.3633, 7.03438, 7.2923
0, 1320.00000, 7295.89, 7237.76, 7217.5, 16.3157, 7.03459, 7.31802
0, 1380.00000, 7296.73, 7236.91, 7218.52, 16.2566, 7.04645, 7.32288
0, 1440.00000, 7297.18, 7235.93, 7220.55, 16.1893, 7.06899, 7.30792
0, 1500.00000, 7297.22, 7234.89, 7223.47, 16.1179, 7.10082, 7.27461
0, 1560.00000, 7296.87, 7233.83, 7227.11, 16.0466, 7.14019, 7.22518
0, 1620.00000, 7296.13, 7232.82, 7231.28, 15.9793, 7.18505, 7.16241
0, 1680.00000, 7295.04, 7231.9, 7235.78, 15.9199, 7.23317, 7.08955
0, 1740.00000, 7293.65, 7231.13, 7240.4, 15.8715, 7.28218, 7.01013
0, 1800.00000, 7292.02, 7230.55, 7244.92, 15.8367, 7.3297, 6.92778
0, 1860.00000, 7290.21, 7230.21, 7249.16, 15.8173, 7.37344, 6.84608
0, 1920.00000, 7288.38, 7230.4, 7252.01, 15.8446, 7.40102, 6.78431
0, 1980.00000, 7286.51, 7230.84, 7254.32, 15.8855, 7.42179, 6.72832
0, 2040.00000, 7284.66, 7231.51, 7256.08, 15.9367, 7.43519, 6.67915
0, 2100.00000, 7282.89, 7232.37, 7257.28, 15.994, 7.44104, 6.63774
0, 2160.00000, 7281.26, 7233.4, 7257.94, 16.053, 7.43943, 6.60463
0, 2220.00000, 7279.84, 7234.54, 7258.09, 16.1088, 7.43077, 6.58005
0, 2280.00000, 7278.67, 7235.75, 7257.81, 16.1568, 7.41575, 6.56387
0, 2340.00000, 7277.79, 7236.96, 7257.15, 16.1925, 7.39531, 6.55572
0, 2400.00000, 7277.24, 7238.13, 7256.23, 16.2121, 7.3706, 6.55497
0, 2460.00000, 7277.04, 7239.21, 7255.12, 16.2125, 7.34286, 6.56084
0, 2520.00000, 7277.43, 7240.01, 7254.34, 16.1538, 7.31609, 6.56528
0, 2580.00000, 7278.15, 7240.62, 7253.53, 16.076, 7.28887, 6.57501
0, 2640.00000, 7279.16, 7241.03, 7252.76, 15.9826, 7.26233, 6.58973
0, 2700.00000, 7280.41, 7241.21, 7252.06, 15.8775, 7.23767, 6.60899
0, 2760.00000, 7281.84, 7241.14, 7251.47, 15.7653, 7.21598, 6.63233
0, 2820.00000, 7283.4, 7240.83, 7251.02, 15.651, 7.19829, 6.6593
0, 2880.00000, 7285.01, 7240.27, 7250.74, 15.5396, 7.18551, 6.68946
0, 2940.00000, 7286.62, 7239.46, 7250.64, 15.436, 7.1784, 6.72239
