
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                    Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

263395426                 7.106      0.987          0          0         0         0
260663875                 7.106     0.9869          0          0         0         0
260664701                 7.112     0.9878          0          0         0         0
260664706                 7.112     0.9878          0          0         0         0
258425882                 7.106      0.987          0          0         0         0
263395345                 7.266      1.009          0          0         0         0
260663865                 7.266      1.009          0          0         0         0
260663870                 7.103     0.9866    0.08691      1.224    0.1179      1.66
258405818                 7.266      1.009          0          0         0         0
259446919                 6.907     0.9594          0          0         0         0
261213173                 6.907     0.9594          0          0         0         0
260663795                 7.103     0.9865          0          0         0         0
258406233                 7.113     0.9879    0.05387     0.7573    0.1139     1.601
258425468                 6.997     0.9719          0          0         0         0
263395282                 6.997     0.9719          0          0         0         0
260663830                 6.997     0.9719          0          0         0         0
264310933                 7.112     0.9878          0          0         0         0
260662926                 7.114     0.9881          0          0         0         0
260662931                 7.113      0.988          0          0         0         0
260662921                 7.114     0.9881          0          0         0         0
264148873                 7.043     0.9782          0          0         0         0
260662906                 7.119     0.9888          0          0         0         0
260662911                 7.119     0.9888          0          0         0         0
260663805                   7.1     0.9862          0          0         0         0
264148855                 7.124     0.9895          0          0         0         0
260663800                 7.101     0.9862          0          0         0         0
261434112                 7.122     0.9892          0          0         0         0
260664761                 6.839     0.9499          0          0         0         0
258406032                 7.118     0.9886    0.05476     0.7694    0.1045     1.469
620695940                 7.031     0.9767          0          0         0         0
620695957                 7.031     0.9766          0          0         0         0
258443856                 6.924     0.9617          0          0         0         0
258443724                 6.881     0.9557          0          0         0         0
263399283                 6.881     0.9557          0          0         0         0
260664756                 6.881     0.9557          0          0         0         0
258443831                 6.926      0.962          0          0         0         0
258444254                 7.193     0.9991          0          0         0         0
258443429                 6.974     0.9687     0.1061      1.521    0.1153     1.654
263399184                 7.112     0.9879          0          0         0         0
264357162                 7.113      0.988          0          0         0         0
450041290                  6.88     0.9557          0          0         0         0
384331483                 6.873     0.9546          0          0         0         0
264245362                 6.887     0.9566          0          0         0         0
258425463                 6.997     0.9719          0          0         0         0
260972736                  6.86     0.9529          0          0         0         0
264276847                 7.109     0.9874          0          0         0         0
258406228                 7.116     0.9884     0.0538     0.7561    0.1127     1.584
