[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY,TagText,TagProperties,TagDeltaX,TagDeltaY,TagAngle,TagAlignment,TagBorder,TagBackground,TagTextColor,TagBorderColor,TagBackgroundColor,TagLocation,TagFont,TagTextSize,TagOffset,ZoneID,ConnectedEquipType,ExposedCircuitType,BusGap,WorkingDistance,UseUserDefinedFaultCurrent,UserDefinedFaultCurrent,OpeningTimeMode,UserDefinedOpeningTime,OverrideLFVoltageLimit,HighVoltageLimit,LowVoltageLimit,LoadSheddingActive,MaximumLoadShed,ShedLoadCost,UserDefinedBaseVoltage
1992591,2341250.928000,12996181.104000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992554,2341257.654720,12996469.502664,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992510,2341794.219000,12996178.816000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992511,2341865.447299,12996181.888820,G3E_FID: 2864181#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1992553,2341257.467412,12996464.506174,G3E_FID: 2892079#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1992550,2341255.656000,12996556.178000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992558,2341251.426796,12996303.371095,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013299,2340733.355434,12997833.646166,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013317,2340756.422622,12997833.573435,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26259145,2340587.489188,12997517.953930,G3E_FID: 2888483#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013319,2340742.685595,12997831.536571,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
25028592,2341106.685440,12996169.299864,G3E_FID: 2868704#$%# G3E_FNO: 234#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
27043862,2341109.543000,12997539.710000,G3E_FID: 2912120#$%# G3E_FNO: 322#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
27145135,2341020.510000,12997251.172000,G3E_FID: 2890997#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103603012,2340947.472713,12997807.136861,G3E_FID: 104868786#$%# G3E_FNO: 322#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26621405,2341261.165000,12996863.836000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103004796,2341242.452604,12997135.467547,G3E_FID: 2912129#$%# G3E_FNO: 322#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
25680881,2341393.545000,12997297.948000,G3E_FID: 2864172#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26449577,2341256.748502,12996813.859459,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103004792,2341286.190000,12997307.379000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26512071,2340744.140000,12997736.827000,G3E_FID: 2892042#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103004798,2341032.073359,12997246.677901,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103602979,2340955.782373,12997809.267543,G3E_FID: 104868832#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
T5120B01_10000009,2340752.917187,12997821.698665,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
T5120B01_10000008,2341234.170777,12997117.871851,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
T5120B01_10000005,2341032.327485,12997237.867768,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
T5120B01_10000004,2341014.834414,12997246.010766,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
T5120B01_10000007,2340739.291142,12997738.047072,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
T5120B01_10000006,2341015.082685,12997236.228350,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
T5120B01_10000000,2341252.504528,12996652.132408,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
T5120B01_10000003,2340576.198806,12997529.985858,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823824,2341998.943552,12995961.156818,G3E_FID: 2841215#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
T5120B01_10000002,2341603.297756,12996170.712439,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823825,2342001.048018,12995956.621267,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823866,2342262.315672,12995747.378607,G3E_FID: 2841220#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1823867,2342265.410492,12995743.451510,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823860,2342372.516828,12995745.170911,G3E_FID: 2841221#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1823861,2342367.517175,12995745.112001,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823868,2342209.597412,12995814.274174,G3E_FID: 2889669#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1823869,2342465.752589,12995482.987216,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992493,2341598.301657,12996170.909916,G3E_FID: 2888697#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26424523,2341016.655000,12997241.354000,G3E_FID: 2890992#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
27145132,2341020.319000,12997222.415000,G3E_FID: 2891003#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26424532,2341020.791973,12997230.772289,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
27145218,2340761.265000,12997732.518000,G3E_FID: 2892036#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26451272,2341032.743254,12997242.174007,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26489505,2340585.716519,12997523.665806,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26172320,2341190.416000,12996336.996000,G3E_FID: 2888026#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26595446,2342458.155927,12995386.304007,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
