[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
REC48__2841214,REC48_2841214,SPOT,REC48_2841214,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,50.000000,0.000000,2.000000,0.000000
REC48__2841214,REC48_2841214,SPOT,REC48_2841214,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11F134__2890567,11F134_2890567,SPOT,11F134_2890567,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,50.000000,0.000000,2.667000,0.000000
11F134__2890567,11F134_2890567,SPOT,11F134_2890567,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,2.667000,0.000000
11F134__2890567,11F134_2890567,SPOT,11F134_2890567,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,2.667000,0.000000
RE585__2889669,RE585_2889669,SPOT,RE585_2889669,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,50.000000,0.000000,4.000000,0.000000
RE585__2889669,RE585_2889669,SPOT,RE585_2889669,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RE585__2889669,RE585_2889669,SPOT,RE585_2889669,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
REC46__2841215,REC46_2841215,SPOT,REC46_2841215,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
REC46__2841215,REC46_2841215,SPOT,REC46_2841215,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,50.000000,0.000000,10.000000,0.000000
REC46__2841215,REC46_2841215,SPOT,REC46_2841215,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
145754__103033621,145754_103033621,SPOT,145754_103033621,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,833.333333,0.000000,2.333000,0.000000
145754__103033621,145754_103033621,SPOT,145754_103033621,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,833.333333,0.000000,2.333000,0.000000
145754__103033621,145754_103033621,SPOT,145754_103033621,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,833.333333,0.000000,2.333000,0.000000
GT17BK__2893176,GT17BK_2893176,SPOT,GT17BK_2893176,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,50.000000,0.000000,1.000000,0.000000
GT17BK__2893176,GT17BK_2893176,SPOT,GT17BK_2893176,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GT17BK__2893176,GT17BK_2893176,SPOT,GT17BK_2893176,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
145754__103033582,145754_103033582,SPOT,145754_103033582,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,333.333333,0.000000,2.333000,0.000000
145754__103033582,145754_103033582,SPOT,145754_103033582,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,333.333333,0.000000,2.333000,0.000000
145754__103033582,145754_103033582,SPOT,145754_103033582,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,333.333333,0.000000,2.333000,0.000000
GS83BK__2864179,GS83BK_2864179,SPOT,GS83BK_2864179,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS83BK__2864179,GS83BK_2864179,SPOT,GS83BK_2864179,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,25.000000,0.000000,1.000000,0.000000
GS83BK__2864179,GS83BK_2864179,SPOT,GS83BK_2864179,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0360BK__2841221,0360BK_2841221,SPOT,0360BK_2841221,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,25.000000,0.000000,3.000000,0.000000
0360BK__2841221,0360BK_2841221,SPOT,0360BK_2841221,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0360BK__2841221,0360BK_2841221,SPOT,0360BK_2841221,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RDZ75__2841220,RDZ75_2841220,SPOT,RDZ75_2841220,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,25.000000,0.000000,5.000000,0.000000
RDZ75__2841220,RDZ75_2841220,SPOT,RDZ75_2841220,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RDZ75__2841220,RDZ75_2841220,SPOT,RDZ75_2841220,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS76BK__2864204,GS76BK_2864204,SPOT,GS76BK_2864204,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS76BK__2864204,GS76BK_2864204,SPOT,GS76BK_2864204,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,25.000000,0.000000,5.000000,0.000000
GS76BK__2864204,GS76BK_2864204,SPOT,GS76BK_2864204,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GT20BK__2864180,GT20BK_2864180,SPOT,GT20BK_2864180,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GT20BK__2864180,GT20BK_2864180,SPOT,GT20BK_2864180,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,100.000000,0.000000,5.000000,0.000000
GT20BK__2864180,GT20BK_2864180,SPOT,GT20BK_2864180,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,50.000000,0.000000,5.000000,0.000000
PGZ90__2887734,PGZ90_2887734,SPOT,PGZ90_2887734,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,500.000000,0.000000,0.333000,0.000000
PGZ90__2887734,PGZ90_2887734,SPOT,PGZ90_2887734,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,500.000000,0.000000,0.333000,0.000000
PGZ90__2887734,PGZ90_2887734,SPOT,PGZ90_2887734,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,500.000000,0.000000,0.333000,0.000000
PJ126__2892042,PJ126_2892042,SPOT,PJ126_2892042,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,166.666667,0.000000,26.333000,0.000000
PJ126__2892042,PJ126_2892042,SPOT,PJ126_2892042,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,166.666667,0.000000,26.333000,0.000000
PJ126__2892042,PJ126_2892042,SPOT,PJ126_2892042,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,166.666667,0.000000,26.333000,0.000000
PJ126__2892041,PJ126_2892041,SPOT,PJ126_2892041,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,333.333333,0.000000,26.333000,0.000000
PJ126__2892041,PJ126_2892041,SPOT,PJ126_2892041,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,333.333333,0.000000,26.333000,0.000000
PJ126__2892041,PJ126_2892041,SPOT,PJ126_2892041,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,333.333333,0.000000,26.333000,0.000000
144581__2895224,144581_2895224,SPOT,144581_2895224,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,250.000000,0.000000,22.667000,0.000000
144581__2895224,144581_2895224,SPOT,144581_2895224,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,250.000000,0.000000,22.667000,0.000000
144581__2895224,144581_2895224,SPOT,144581_2895224,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,250.000000,0.000000,22.667000,0.000000
145754__103033616,145754_103033616,SPOT,145754_103033616,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,333.333333,0.000000,2.333000,0.000000
145754__103033616,145754_103033616,SPOT,145754_103033616,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,333.333333,0.000000,2.333000,0.000000
145754__103033616,145754_103033616,SPOT,145754_103033616,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,333.333333,0.000000,2.333000,0.000000
145754__103033614,145754_103033614,SPOT,145754_103033614,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,833.333333,0.000000,2.333000,0.000000
145754__103033614,145754_103033614,SPOT,145754_103033614,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,833.333333,0.000000,2.333000,0.000000
145754__103033614,145754_103033614,SPOT,145754_103033614,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,833.333333,0.000000,2.333000,0.000000
11F134__2890992,11F134_2890992,SPOT,11F134_2890992,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,833.333333,0.000000,2.667000,0.000000
11F134__2890992,11F134_2890992,SPOT,11F134_2890992,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,833.333333,0.000000,2.667000,0.000000
11F134__2890992,11F134_2890992,SPOT,11F134_2890992,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,833.333333,0.000000,2.667000,0.000000
11F134__2890993,11F134_2890993,SPOT,11F134_2890993,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,833.333333,0.000000,2.667000,0.000000
11F134__2890993,11F134_2890993,SPOT,11F134_2890993,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,833.333333,0.000000,2.667000,0.000000
11F134__2890993,11F134_2890993,SPOT,11F134_2890993,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,833.333333,0.000000,2.667000,0.000000
11F134__2890994,11F134_2890994,SPOT,11F134_2890994,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,333.333333,0.000000,2.667000,0.000000
11F134__2890994,11F134_2890994,SPOT,11F134_2890994,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,333.333333,0.000000,2.667000,0.000000
11F134__2890994,11F134_2890994,SPOT,11F134_2890994,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,333.333333,0.000000,2.667000,0.000000
MA843__2841234,MA843_2841234,SPOT,MA843_2841234,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,100.000000,0.000000,0.667000,0.000000
MA843__2841234,MA843_2841234,SPOT,MA843_2841234,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,100.000000,0.000000,0.667000,0.000000
MA843__2841234,MA843_2841234,SPOT,MA843_2841234,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,100.000000,0.000000,0.667000,0.000000
RD506__2864173,RD506_2864173,SPOT,RD506_2864173,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,100.000000,0.000000,0.333000,0.000000
RD506__2864173,RD506_2864173,SPOT,RD506_2864173,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,100.000000,0.000000,0.333000,0.000000
RD506__2864173,RD506_2864173,SPOT,RD506_2864173,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,100.000000,0.000000,0.333000,0.000000
11H260__2888026,11H260_2888026,SPOT,11H260_2888026,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11H260__2888026,11H260_2888026,SPOT,11H260_2888026,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,167.000000,0.000000,1.000000,0.000000
11H260__2888026,11H260_2888026,SPOT,11H260_2888026,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000

[LOAD MODEL INFORMATION]
FORMAT_LOADMODELINFORMATION=ID,Name
1,DEFAULT

