NODE_ID,CYME_X,CYME_Y,LAT,LONG
'627216469',268490.87,-242727.1,35.29527498,-81.02179272
'260650879',269099.2,-241362.94,35.30699301,-81.01462468
'263828713',269455.33,-239986.86,35.31881344,-81.01042835
'261107370',268884.2,-239292.68,35.3247764,-81.01715806
'258281157',269764.98,-241294.06,35.30758469,-81.0067797
'263361341',269530.46,-239959.54,35.31904812,-81.00954308
'260959707',268453.41,-240587.18,35.31365674,-81.02223412
'261315925',269771.99,-240880.17,35.31113997,-81.0066971
'868882825',269946.72,-238727.07,35.32963495,-81.00463823
'263846122',269503.18,-239944.61,35.31917637,-81.00986452
'258287847',268643.28,-241828.85,35.30299088,-81.01999685
'258287620',269068.28,-240937.62,35.31064648,-81.01498902
'699730216',270357.89,-239241.88,35.32521277,-80.99979335
'616805112',269398.74,-241468.76,35.30608403,-81.01109516
'258281634',269436.92,-240007.67,35.31863469,-81.01064528
'263828695',269454.01,-240901.76,35.31095452,-81.0104439
'258281624',269454.41,-240140.02,35.31749781,-81.01043919
'258285753',270859.43,-238427.34,35.33220961,-80.99388363
'261264284',269980.13,-238628.53,35.3304814,-81.00424455
'258285749',270770.75,-238465.11,35.33188517,-80.99492856
'258278521',269292.83,-241465.18,35.30611478,-81.01234311
'868882845',269979.16,-238870.61,35.32840195,-81.00425598
'258282030',269432.07,-239316.17,35.32457462,-81.01070242
'258278491',268806.37,-241597.19,35.30498082,-81.01807514
'621161994',268756.35,-239284.39,35.32484761,-81.01866453
'699730237',270342,-239285.3,35.32483979,-80.99998058
'258287807',268832.3,-242081.69,35.300819,-81.0177696
'261014261',268722.18,-239464.11,35.32330383,-81.01906716
'258284404',270531.27,-238395.91,35.33247959,-80.99775039
'260650864',268813.63,-241369.98,35.30693254,-81.01798959
'258281515',268449.82,-240377.34,35.31545925,-81.02227642
'258282186',270473.69,-239206.19,35.32551934,-80.99842886
'621162076',268760.43,-239168.43,35.3258437,-81.01861646
'260651701',271112.89,-238287.82,35.33340807,-80.99089707
'258282210',270495.51,-238859.63,35.32849627,-80.99817175
'261315950',269579.55,-240976.54,35.31031216,-81.00896465
'258281368',269360.89,-240585.89,35.31366782,-81.01154115
'263828740',270571.07,-238508.4,35.33151331,-80.99728142
'620481161',268924.92,-242120.77,35.30048331,-81.01667825
'263361287',269394.17,-240699.47,35.31269217,-81.01114901
'260935289',269226.47,-240036.08,35.31839065,-81.01312504
'258281649',269422.48,-239957.41,35.31906642,-81.01081542
'258287555',269366.09,-241079.61,35.3094268,-81.01147988
'261107335',268710.45,-239450.1,35.32342417,-81.01920538
'259452995',270234.45,-239151.36,35.32599033,-81.00124786
'261264279',269984.2,-238608.64,35.33065225,-81.00419659
'865972503',269854.44,-238583.46,35.33086855,-81.00572558
'258278374',269115.56,-241966.68,35.30180693,-81.01443191
'258281609',269297.8,-240250.4,35.31654965,-81.01228455
'258281398',269215.78,-240629.93,35.31328952,-81.013251
'263363000',269473.54,-241180.16,35.30856308,-81.01021378
'258287408',269605.86,-240335.89,35.3158153,-81.00865463
'258281915',269342.4,-238583.42,35.33086889,-81.01175902
'258282265',270569.75,-238509.16,35.33150678,-80.99729697
'258281413',269124.76,-240628.72,35.31329991,-81.0143235
'258281985',268899.22,-238839.95,35.32866532,-81.01698107
'258282000',269355.23,-238865.11,35.32844919,-81.01160784
'260031911',270489.81,-239152.58,35.32597985,-80.99823892
'258287817',268767.97,-242019.25,35.30135536,-81.01852761
'259571237',270191.6,-239106.53,35.32637541,-81.00175277
'261315870',270096.86,-240968.33,35.31038269,-81.0028691
'261107376',268685.27,-239242.98,35.32520332,-81.01950208
'258284379',270453.62,-238635.82,35.33041878,-80.99866535
'264272656',268564.05,-240658.34,35.31304548,-81.02093043
'258287782',268641.35,-242150.4,35.30022879,-81.0200196
'261315885',269827.29,-240440.64,35.31491551,-81.00604549
'455203788',270575.86,-239673.45,35.32150561,-80.99722498
'258281530',268344.07,-240299.7,35.31612617,-81.02352249
'261315935',269676.62,-240693.03,35.31274749,-81.00782085
'258281408',269162.64,-240527.96,35.31416543,-81.01387716
'260858013',268923.03,-239611.77,35.32203544,-81.01670052
'261119895',269346.07,-239763.48,35.32073226,-81.01171577
'258282171',270411.17,-239308.17,35.32464334,-80.99916554
'624971024',269433.58,-239316.21,35.32457428,-81.01068463
'261187904',269021.22,-239259.68,35.32505987,-81.01554353
'260650894',268876.51,-241257.62,35.30789771,-81.01724867
'868882815',269823.54,-238693.4,35.32992417,-81.00608967
'738976567',269552.68,-239910.45,35.3194698,-81.00928126
'258278486',268831.49,-241535.9,35.3055073,-81.01777915
'298664889',269679.82,-238998.5,35.32730338,-81.00778315
'258281791',269859.49,-239417.25,35.32370635,-81.00566607
'261297357',270120.01,-238652.61,35.33027455,-81.00259632
'258287565',269299.25,-241053.4,35.30965194,-81.01226746
'263828686',269320.96,-241429.37,35.30642239,-81.01201165
'260859985',268738.63,-240670.53,35.31294077,-81.01887333
'258281639',269442.43,-240004.92,35.31865831,-81.01058035
'286774779',269653.53,-238883.71,35.32828942,-81.00809293
'263361395',269602.6,-239287.91,35.32481737,-81.00869304
'258281338',269251.87,-240812.72,35.31171936,-81.01282575
'455203756',270778.33,-239524.3,35.3227868,-80.99483924
'258281505',268448.66,-240398.46,35.31527783,-81.02229009
'258278528',269319.6,-241428.68,35.30642831,-81.01202767
'261013273',268847.65,-239521.47,35.32281111,-81.01758873
'258281435',269021.68,-240703.02,35.31266168,-81.01553811
'258281940',269171.07,-238472.75,35.33181954,-81.01377783
'258281363',269365.63,-240610.33,35.31345788,-81.0114853
'258284414',270376.46,-238144.88,35.33463592,-80.99957454
'258278394',269084.65,-241842.18,35.30287638,-81.01479613
'258281470',268757.11,-240534.18,35.314112,-81.01865558
'258287505',268958.21,-240333.65,35.31583454,-81.01628599
'258282065',269577.28,-239170.59,35.32582514,-81.00899139
'258287610',269040.97,-240997.78,35.31012971,-81.01531081
'258281221',269724.44,-241092.2,35.30931865,-81.00725738
'261315941',269663.85,-240801.81,35.31181308,-81.00797133
'259329532',268815.45,-240002.15,35.3186821,-81.01796815
'258281555',268487.13,-240263.6,35.31643627,-81.02183679
'261315855',270007.1,-240856.06,35.31134708,-81.00392676
'258281602',269292.09,-240306.26,35.31606982,-81.01235183
'258287490',269038.03,-240371.95,35.31550555,-81.01534546
'258278399',269141.61,-241726.08,35.30387367,-81.01412496
'260651099',269220.38,-241289.8,35.30762128,-81.0131968
'258281308',269647.39,-240618.21,35.31339019,-81.00816528
'260651108',269044.77,-241186.02,35.30851274,-81.01526604
'258287730',268866.35,-242158.89,35.30015586,-81.01736839
'259453020',270575.18,-239672.07,35.32151747,-80.99723299
'261315840',270239.14,-240831.2,35.31156062,-81.0011926
'700038884',268772.75,-242178.45,35.29998784,-81.01847129
'258287655',269302.3,-241008.47,35.31003789,-81.01223152
'699048560',270352.89,-239232.99,35.32528913,-80.99985227
'258281725',269828.74,-239665.11,35.32157725,-81.0060284
'260650914',268613.33,-240919.5,35.31080213,-81.02034976
'264026822',269505.2,-241111.01,35.30915707,-81.00984072
'258281283',269473.32,-240639.94,35.31320353,-81.01021637
'261119869',269429.44,-239852.09,35.31997111,-81.01073341
'263363036',268952.17,-242135.49,35.30035687,-81.01635716
'258281495',268529.59,-240396.97,35.31529063,-81.02133648
'699048688',270359.34,-239241.45,35.32521646,-80.99977626
'258282005',269610.81,-239321.32,35.32453038,-81.0085963
'261315860',270099.15,-240893.34,35.31102684,-81.00284212
'699048417',270399.66,-239229.45,35.32531954,-80.99930117
'258287777',268704.91,-242189.29,35.29989473,-81.01927066
'258284389',270609.86,-238486.06,35.33170521,-80.99682435
'258281440',269008.31,-240713.24,35.31257389,-81.01569565
'263362982',269297.18,-240420.09,35.31509203,-81.01229185
'455203694',270603.42,-239652.62,35.32168454,-80.99690023
'258281323',269334.39,-240724.19,35.31247983,-81.0118534
'258278481',268782.05,-241432.3,35.30639722,-81.01836171
'259582594',271147.77,-238332.63,35.33302316,-80.99048608
'258287570',269239.1,-241112.92,35.30914067,-81.01297622
'261297352',270159.41,-238748.97,35.32944683,-81.00213207
'258281525',268384.02,-240270.32,35.31637854,-81.02305175
'263828704',269380.79,-240066.38,35.31813037,-81.01130666
'455203679',270571.96,-239667.11,35.32156007,-80.99727093
'258281575',269164.88,-240468.12,35.31467945,-81.01385076
'258287388',269547.65,-240241.04,35.31663005,-81.00934053
'258281565',269011.08,-240504.34,35.31436833,-81.01566301
'260650899',268787,-241178.4,35.3085782,-81.01830338
'261264283',270003.82,-238717.35,35.32971844,-81.00396541
'258281500',268498.61,-240402.79,35.31524063,-81.02170152
'258281935',269248.52,-238487.28,35.33169473,-81.01286522
'260651164',270499.18,-238738.42,35.32953745,-80.99812851
'261187919',268842.1,-238979.12,35.32746986,-81.01765413
'258281825',269595.31,-239253.64,35.32511175,-81.00877894
'259350248',269554.18,-239910.29,35.31947117,-81.00926358
'263828722',269914.91,-239317.13,35.32456638,-81.00501305
'700038839',269085.69,-242408.66,35.29801035,-81.01478387
'258281755',269756.03,-239613.92,35.32201697,-81.00688516
'260859589',269362.5,-240092.22,35.31790841,-81.01152218
'261187929',268932.27,-239222.52,35.32537907,-81.01659164
'258282115',269167.14,-238997.14,35.32731507,-81.01382413
'261119910',269360.68,-239749.53,35.32085209,-81.01154362
'258287428',269192.67,-240398.24,35.31527972,-81.01352331
'258278364',269064.01,-241885.5,35.30250426,-81.01503933
'868882868',269893.31,-238917.01,35.32800338,-81.00526756
'258287475',268817.73,-240150.43,35.31740839,-81.01794128
'258281945',269096.15,-238565.16,35.33102574,-81.01466062
'258281428',269052.45,-240593.99,35.31359824,-81.01517554
'258287595',269062.49,-241107.83,35.30918439,-81.01505724
'258281900',269304.03,-238662.37,35.33019072,-81.01221114
'258281475',268725.58,-240512.6,35.31429737,-81.0190271
'258281303',269584.73,-240616.62,35.31340385,-81.00890361
'258282246',270606.11,-238624.86,35.33051292,-80.99686854
'258287615',269046.8,-240969.68,35.31037109,-81.01524212
'258281162',269855.17,-241288.15,35.30763546,-81.00571697
'263628582',269361.27,-240092.68,35.31790446,-81.01153667
'261264274',269657.06,-238571.52,35.33097111,-81.00805133
'258282216',270579.75,-238809.87,35.3289237,-80.99717914
'261315850',269850.21,-240648.81,35.31312734,-81.00577542
'258282149',270393.53,-239042.45,35.32692586,-80.9993734
'258287413',269436.98,-240316.06,35.31598564,-81.01064457
