
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

26999845              4.408     0.3339      4.408        100     4.849       110
25497399              13.61      1.031     0.2255      1.657    0.2513     1.846
26999368              4.381     0.3318      4.381        100     4.819       110
103306295             4.396      0.333      4.396        100     4.836       110
103360206             4.396      0.333      4.396        100     4.836       110
26999176              4.402     0.3334      4.402        100     4.842       110
26999178              4.402     0.3334      4.402        100     4.842       110
103571160             4.396     0.3329      4.396        100     4.836       110
26999375               4.38     0.3317       4.38        100     4.818       110
27137256               4.38     0.3317       4.38        100     4.817       110
103321745             4.396     0.3329      4.396        100     4.835       110
27000200              4.384      0.332      4.384        100     4.823       110
27000203              4.384      0.332      4.384        100     4.823       110
26999862              4.378     0.3316      4.378        100     4.816       110
26999850              4.524     0.3426      4.524        100     4.524       100
103079718             4.372     0.3311      4.372        100     4.809       110
103079721             4.368     0.3308      4.368        100     4.805       110
103527269             4.388     0.3323      4.388        100     4.826       110
103527282              13.6       1.03          0          0         0         0
103649891                 0          0          0          0         0         0
103649889                 0          0          0          0         0         0
26999841              4.379     0.3317      4.379        100     4.817       110
27137260              4.525     0.3427      4.525        100     4.525       100
26999206                4.4     0.3332        4.4        100      4.84       110
26999195                4.4     0.3332        4.4        100      4.84       110
27136582                4.4     0.3332        4.4        100      4.84       110
27136579                4.4     0.3332        4.4        100      4.84       110
26999331              4.386     0.3322      4.386        100     4.824       110
26999327              4.386     0.3321      4.386        100     4.824       110
26999407              4.402     0.3334      4.402        100     4.842       110
26999409              4.402     0.3333      4.402        100     4.842       110
103645579             4.396     0.3329      4.396        100     4.835       110
103661126             13.62      1.032     0.2068      1.518    0.2086     1.531
103294957             13.62      1.032     0.2067      1.518    0.2088     1.533
103529701             4.388     0.3323      4.388        100     4.827       110
26999872              4.384      0.332      4.384        100     4.822       110
26999869              4.383      0.332      4.383        100     4.822       110
26331053              13.64      1.033     0.2145      1.573    0.2326     1.705
27136882              13.64      1.033     0.2145      1.573    0.2326     1.705
27136674              4.386     0.3321      4.386        100     4.824       110
27136671              4.386     0.3321      4.386        100     4.824       110
27000194              4.385     0.3321      4.385        100     4.823       110
27000197              4.385     0.3321      4.385        100     4.823       110
26999440              4.385     0.3321      4.385        100     4.824       110
26999437              4.385     0.3321      4.385        100     4.824       110
26999436              4.385     0.3321      4.385        100     4.824       110
26999461              4.385     0.3321      4.385        100     4.824       110
27136903              4.401     0.3333      4.401        100     4.841       110
27136910              4.401     0.3333      4.401        100     4.841       110
26999846              4.408     0.3339      4.408        100     4.849       110
26999843              4.408     0.3339      4.408        100     4.849       110
27136851              4.403     0.3334      4.403        100     4.843       110
27136844              4.402     0.3334      4.402        100     4.843       110
103383285             4.387     0.3323      4.387        100     4.826       110
103383302             4.387     0.3322      4.387        100     4.826       110
103383278             4.387     0.3322      4.387        100     4.825       110
26999510              4.365     0.3306      4.365        100     4.802       110
26999515              4.365     0.3306      4.365        100     4.801       110
103294679             4.396     0.3329      4.396        100     4.836       110
103649885                 0          0          0          0         0         0
103649895                 0          0          0          0         0         0
26999501               4.36     0.3302       4.36        100     4.796       110
26999504               4.36     0.3302       4.36        100     4.796       110
27000184              4.408     0.3339      4.408        100     4.849       110
27000187              4.408     0.3338      4.408        100     4.849       110
26999259              4.382     0.3319      4.382        100      4.82       110
26999262              4.381     0.3318      4.381        100     4.819       110
26999393              4.403     0.3335      4.403        100     4.844       110
26999405              4.403     0.3335      4.403        100     4.843       110
103041862             13.63      1.033     0.2137      1.567    0.2308     1.693
103559715             13.63      1.033     0.2137      1.567    0.2308     1.693
27136636              4.403     0.3335      4.403        100     4.844       110
27136633              4.403     0.3335      4.403        100     4.844       110
26999385              4.405     0.3336      4.405        100     4.845       110
26999711              4.404     0.3336      4.404        100     4.845       110
27136945              4.402     0.3334      4.402        100     4.842       110
27136949              4.402     0.3334      4.402        100     4.842       110
103529700             4.395     0.3329      4.395        100     4.835       110
26999192                4.4     0.3332        4.4        100      4.84       110
26999203                4.4     0.3332        4.4        100      4.84       110
103359064             4.394     0.3328      4.394        100     4.834       110
103359066             4.394     0.3328      4.394        100     4.834       110
26999370               4.38     0.3317       4.38        100     4.818       110
103462495              4.38     0.3317       4.38        100     4.818       110
26991513              4.405     0.3336      4.405        100     4.846       110
26991510              4.405     0.3336      4.405        100     4.846       110
27136860              4.403     0.3335      4.403        100     4.844       110
27136857              4.403     0.3335      4.403        100     4.843       110
103321729             4.396     0.3329      4.396        100     4.836       110
103307202             4.396     0.3329      4.396        100     4.836       110
27136703              4.376     0.3314      4.376        100     4.813       110
27137263              4.375     0.3314      4.375        100     4.813       110
25359975              13.64      1.033     0.2154      1.579    0.2341     1.716
27136893              4.541     0.3439      4.541        100     4.541       100
25844900              13.61      1.031     0.2258      1.659    0.2522     1.853
26999704              13.61      1.031     0.2258      1.659    0.2522     1.853
27136679              4.404     0.3336      4.404        100     4.845       110
27136684              4.404     0.3335      4.404        100     4.844       110
103537210             4.395     0.3329      4.395        100     4.835       110
26387847              13.63      1.032     0.2101      1.542    0.2231     1.638
27136809              4.393     0.3327      4.393        100     4.833       110
27136859              4.403     0.3335      4.403        100     4.844       110
27136864              4.403     0.3334      4.403        100     4.843       110
27137084              4.394     0.3327      4.394        100     4.833       110
27137081              4.394     0.3327      4.394        100     4.833       110
103016798             13.62      1.032     0.2067      1.518    0.2081     1.528
103089665             13.62      1.032     0.2068      1.518    0.2085     1.531
26999265              4.379     0.3316      4.379        100     4.816       110
26999397              8.921     0.6756      4.448      49.86     4.921     55.16
27000177              4.408     0.3338      4.408        100     4.849       110
27000174              4.408     0.3338      4.408        100     4.849       110
27136935                4.4     0.3333        4.4        100      4.84       110
27136942                4.4     0.3332        4.4        100      4.84       110
103645577             4.396     0.3329      4.396        100     4.835       110
26999280              4.405     0.3336      4.405        100     4.846       110
27136680              4.404     0.3336      4.404        100     4.845       110
1104994               13.61      1.031     0.2228      1.637    0.2419     1.777
26999360              4.553     0.3448      4.553        100     4.553       100
26991517              4.406     0.3336      4.406        100     4.846       110
27136930              4.405     0.3336      4.405        100     4.846       110
27136922              4.406     0.3337      4.406        100     4.846       110
27136925              4.552     0.3448      4.552        100     4.552       100
27136842              4.404     0.3335      4.404        100     4.844       110
27136853              4.403     0.3335      4.403        100     4.844       110
27136900              4.393     0.3327      4.393        100     4.832       110
27136913              4.393     0.3327      4.393        100     4.832       110
