[GENERAL]
DATE=June 04, 2015 at 12:44:40
CYME_VERSION=7.10
CYMDIST_REVISION=05

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,DCCustomerType,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,LossesPerCustomer,ConnectedCenterTap1N,ConnectedCenterTap2N,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,
Residential,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,DeviceStage,LoadType,Connection,Location
258904311,40141596,,SPOT,0,2
260761331,40904171,,SPOT,0,2
258904399,40141608,,SPOT,0,2
258904130,40141552,,SPOT,0,2
258904135,40141554,,SPOT,0,2
258908433,40142443,,SPOT,0,2
260761151,40904051,,SPOT,0,2
260761156,40904055,,SPOT,0,2
258904093,40141540,,SPOT,0,2
260761296,40904147,,SPOT,0,2
258904013,40141524,,SPOT,0,2
699645828,40141676,,SPOT,0,2
263530741,40142349,,SPOT,0,2
258908378,40142431,,SPOT,0,2
258904018,40141516,,SPOT,0,2
258904098,40141542,,SPOT,0,2
699645908,40141646,,SPOT,0,2
260761311,40904159,,SPOT,0,2
258908074,40142379,,SPOT,0,2
258908079,40142385,,SPOT,0,2
260760191,40903387,,SPOT,0,2
261302049,41229419,,SPOT,0,2
263991396,40141688,,SPOT,0,2
263530723,40903383,,SPOT,0,2
258908358,40142427,,SPOT,0,2
258908418,40142439,,SPOT,0,2
258903819,40141488,,SPOT,0,2
260761094,40904019,,SPOT,0,2
478673659,40142403,,SPOT,0,2
263533244,40141706,,SPOT,0,2
258908238,40142399,,SPOT,0,2
263530687,40904879,,SPOT,0,2
260761119,40904035,,SPOT,0,2
263533064,40141584,,SPOT,0,2
258908059,40240971,,SPOT,0,2
617632356,40904091,,SPOT,0,2
258908293,40142411,,SPOT,0,2
263533163,40141668,,SPOT,0,2
263530705,40903391,,SPOT,0,2
263533226,40141694,,SPOT,0,2
263997299,41217642,,SPOT,0,2
258907852,40142339,,SPOT,0,2
258908158,40142391,,SPOT,0,2
258908298,40142413,,SPOT,0,2
263533046,40141564,,SPOT,0,2
258908037,40142371,,SPOT,0,2
258907953,40290923,,SPOT,0,2
258908318,40142417,,SPOT,0,2
258908398,40142435,,SPOT,0,2
258908131,40142387,,SPOT,0,2
258907832,40142333,,SPOT,0,2
258908138,40142389,,SPOT,0,2
263533208,40904155,,SPOT,0,2
258896576,40140135,,SPOT,0,2
258908099,40142383,,SPOT,0,2
258907933,40142359,,SPOT,0,2
258908191,40142395,,SPOT,0,2
263533127,40904111,,SPOT,0,2
258907812,40142329,,SPOT,0,2
263533001,40904003,,SPOT,0,2
258907894,40142351,,SPOT,0,2
258907899,40142353,,SPOT,0,2
258907990,40142365,,SPOT,0,2
258907916,40142357,,SPOT,0,2
263533100,40904047,,SPOT,0,2
258896435,40140119,,SPOT,0,2
258907995,40142367,,SPOT,0,2
263533109,40904043,,SPOT,0,2
627235850,40140151,,SPOT,0,2
258896537,40140129,,SPOT,0,2
258896532,40140131,,SPOT,0,2
263534343,40904887,,SPOT,0,2
258896413,40140117,,SPOT,0,2
263534406,40904891,,SPOT,0,2
263974100,40278353,,SPOT,0,2
263532965,40904023,,SPOT,0,2
258896591,40140143,,SPOT,0,2
263532848,40142299,,SPOT,0,2
263681992,40142293,,SPOT,0,2
263532947,40904031,,SPOT,0,2
258896299,40140105,,SPOT,0,2
258896393,40140115,,SPOT,0,2
263534306,40142345,,SPOT,0,2
263532920,40904067,,SPOT,0,2
263534388,40142425,,SPOT,0,2
263532902,40298918,,SPOT,0,2
263532983,40141502,,SPOT,0,2
699603610,40141568,,SPOT,0,2
699624652,40141534,,SPOT,0,2
699624738,40141532,,SPOT,0,2
699623291,40142289,,SPOT,0,2
699646219,40141640,,SPOT,0,2
699623114,40141690,,SPOT,0,2
699624374,40141546,,SPOT,0,2
633960134,367231750,,SPOT,0,2
258907760,40142317,,SPOT,0,2
258907765,40142319,,SPOT,0,2
260762260,40904883,,SPOT,0,2
699625175,40141580,,SPOT,0,2
258904760,40141708,,SPOT,0,2
258907740,40142313,,SPOT,0,2
258904765,40141710,,SPOT,0,2
258904644,40141674,,SPOT,0,2
258904740,40141700,,SPOT,0,2
258907723,40142311,,SPOT,0,2
699643894,40141588,,SPOT,0,2
258907681,40142295,,SPOT,0,2
258907686,40142297,,SPOT,0,2
466941356,40140125,,SPOT,0,2
258907701,40142303,,SPOT,0,2
258907706,40142305,,SPOT,0,2
260761266,40904127,,SPOT,0,2
258904546,40141650,,SPOT,0,2
258904686,40141686,,SPOT,0,2
699624095,40141518,,SPOT,0,2
258904246,40141578,,SPOT,0,2
258904787,40142285,,SPOT,0,2
260761246,40904115,,SPOT,0,2
699625097,40141582,,SPOT,0,2
258904486,40141632,,SPOT,0,2
258904404,40141624,,SPOT,0,2
699645957,40141648,,SPOT,0,2
260761346,40904179,,SPOT,0,2
258904409,40141610,,SPOT,0,2
699603855,40141490,,SPOT,0,2
263682001,40141712,,SPOT,0,2
258904164,40141558,,SPOT,0,2
260761221,40904095,,SPOT,0,2
260761166,40904063,,SPOT,0,2
260761226,40904099,,SPOT,0,2
258904169,40141560,,SPOT,0,2
258908467,40142445,,SPOT,0,2
258904048,40141522,,SPOT,0,2
637684626,40142335,,SPOT,0,2
258904326,40141600,,SPOT,0,2
258903963,40141506,,SPOT,0,2
261245658,41198489,,SPOT,0,2
258904140,40141556,,SPOT,0,2
258904281,40141590,,SPOT,0,2
260761281,40904139,,SPOT,0,2
260761201,40904083,,SPOT,0,2
261245653,41198485,,SPOT,0,2
260761206,40904087,,SPOT,0,2
258903841,40141672,,SPOT,0,2
258904301,40141594,,SPOT,0,2
258904384,40141604,,SPOT,0,2
260761301,40904151,,SPOT,0,2
258904123,40141550,,SPOT,0,2
699624857,40141508,,SPOT,0,2
258908363,40142429,,SPOT,0,2
258904003,40141526,,SPOT,0,2
263530750,40142343,,SPOT,0,2
258908428,40142441,,SPOT,0,2
704839483,40904143,,SPOT,0,2
258908248,40142401,,SPOT,0,2
258904103,40141544,,SPOT,0,2
258908064,40142377,,SPOT,0,2
699624835,40141510,,SPOT,0,2
260761181,40904071,,SPOT,0,2
258903928,40141500,,SPOT,0,2
260761186,40904075,,SPOT,0,2
258908487,40142447,,SPOT,0,2
260761104,40904027,,SPOT,0,2
258903886,40141496,,SPOT,0,2
471790416,40141666,,SPOT,0,2
263530732,40140153,,SPOT,0,2
471790415,165971719,,SPOT,0,2
258908223,40142405,,SPOT,0,2
258908408,40142437,,SPOT,0,2
259381734,40250065,,SPOT,0,2
699624910,40141570,,SPOT,0,2
258907862,40142341,,SPOT,0,2
261302054,41229423,,SPOT,0,2
258908042,40142373,,SPOT,0,2
699624817,40141512,,SPOT,0,2
258908049,40142375,,SPOT,0,2
258908283,40142409,,SPOT,0,2
617632322,40904079,,SPOT,0,2
258908328,40142419,,SPOT,0,2
258908206,40142397,,SPOT,0,2
263533235,40904871,,SPOT,0,2
258908148,40142393,,SPOT,0,2
263533055,40904059,,SPOT,0,2
258896645,40140155,,SPOT,0,2
617632389,40141638,,SPOT,0,2
617632388,40141636,,SPOT,0,2
258907943,40142361,,SPOT,0,2
258908388,40142433,,SPOT,0,2
263681965,40142423,,SPOT,0,2
263533217,40904167,,SPOT,0,2
258907827,40142337,,SPOT,0,2
263533037,40141528,,SPOT,0,2
258908005,40142369,,SPOT,0,2
258908084,40142381,,SPOT,0,2
258896564,40140133,,SPOT,0,2
258896447,40140123,,SPOT,0,2
258896442,40140121,,SPOT,0,2
