"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
5346, "Transformer.05410_G2100GI2700", 1.381, 1.883, 166.4691, 122.0774, 19.9 
5346, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 191.6761, 140.5625, 19.9 
5347, "Transformer.05410_G2100GI2700", 1.381, 1.883, 164.1711, 120.3921, 19.9 
5347, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 185.5878, 136.0977, 19.9 
5348, "Transformer.05410_G2100GI2700", 1.381, 1.883, 161.6967, 118.5776, 19.9 
5348, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 186.2332, 136.571, 19.9 
5349, "Transformer.05410_G2100GI2700", 1.381, 1.883, 152.0889, 111.5318, 19.9 
5349, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 177.5927, 130.2346, 19.9 
5350, "Transformer.05410_G2100GI2700", 1.381, 1.883, 137.4188, 100.7738, 19.9 
5350, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 161.8431, 118.6849, 19.9 
5351, "Transformer.05410_G2100GI2700", 1.381, 1.883, 121.0345, 88.7586, 19.9 
5351, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 145.9713, 107.0456, 19.9 
5352, "Transformer.05410_G2100GI2700", 1.381, 1.883, 110.1972, 80.81129, 19.9 
5352, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 131.5635, 96.47986, 19.9 
5353, "Transformer.05410_G2100GI2700", 1.381, 1.883, 101.392, 74.35416, 19.9 
5353, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 120.5417, 88.39723, 19.9 
5354, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 113.7775, 83.43684, 19.9 
5355, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 110.9031, 81.32893, 19.9 
5356, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 109.3025, 80.15513, 19.9 
5357, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 114.3368, 83.84701, 19.9 
5358, "Transformer.05410_G2100GI2700", 1.381, 1.883, 107.8126, 79.06256, 19.9 
5358, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 126.4234, 92.7105, 19.9 
5359, "Transformer.05410_G2100GI2700", 1.381, 1.883, 114.1916, 83.74052, 19.9 
5359, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 131.9233, 96.74374, 19.9 
5360, "Transformer.05410_G2100GI2700", 1.381, 1.883, 118.326, 86.7724, 19.9 
5360, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 140.9671, 103.3759, 19.9 
5361, "Transformer.05410_G2100GI2700", 1.381, 1.883, 130.3769, 95.60969, 19.9 
5361, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 155.7334, 114.2045, 19.9 
5362, "Transformer.05410_G2100GI2700", 1.381, 1.883, 146.4015, 107.3611, 19.9 
5362, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 173.1106, 126.9478, 19.9 
5363, "Transformer.05410_G2100EN2200", 2.761, 3.765, 100.6096, 73.78034, 19.9 
5363, "Transformer.05410_G2100GI2700", 1.381, 1.883, 166.0125, 121.7425, 19.9 
5363, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 195.4566, 143.3349, 19.9 
5363, "Transformer.05410_G2102CC0600", 1.381, 1.883, 100.7239, 73.86417, 19.9 
5364, "Transformer.05410_G2100DL9800", 2.071, 2.824, 105.039, 77.02862, 19.9 
5364, "Transformer.05410_G2100EN2200", 2.761, 3.765, 108.3777, 79.47697, 19.9 
5364, "Transformer.05410_G2100GI2700", 1.381, 1.883, 178.8815, 131.1798, 19.9 
5364, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 209.5296, 153.6551, 19.9 
5364, "Transformer.05410_G2101BC7200", 7.217, 9.841, 106.3288, 77.97445, 7.62 
5364, "Transformer.05410_G2102CC0600", 1.381, 1.883, 107.9492, 79.16271, 19.9 
5365, "Transformer.05410_G2100DL9800", 2.071, 2.824, 109.9323, 80.61701, 19.9 
5365, "Transformer.05410_G2100EN2200", 2.761, 3.765, 115.1295, 84.4283, 19.9 
5365, "Transformer.05410_G2100GI2700", 1.381, 1.883, 190.0774, 139.3901, 19.9 
5365, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 220.1151, 161.4178, 19.9 
5365, "Transformer.05410_G2101BC7200", 7.217, 9.841, 111.6695, 81.89098, 7.62 
