1713307       , 2230081.484176, 13227840.748712
26433248      , 2205212.754000, 13226892.327000
1599426       , 2236458.459000, 13228465.060000
1713305       , 2229864.453866, 13227687.617286
1713775       , 2232723.057695, 13223046.220608
26873580      , 2201220.302000, 13221657.525000
26400501      , 2221118.037378, 13227999.928025
1599467       , 2236539.98756513228997.526317, NULL
1713344       , 2228559.390143, 13227508.273524
1713773       , 2232718.499943, 13223044.164667
103085628     , 2202619.596541, 13237002.706738
1599466       , 2236544.662430, 13228999.299911
1713300       , 2230403.313962, 13226393.665701
103085629     , 2202618.951912, 13237007.665009
26400169      , 2211398.586380, 13224842.816083
103395426     , 2210336.736744, 13222474.887853
1599464       , 2236336.117000, 13228972.407000
1709349       , 2199569.331208, 13222697.798494
1713343       , 2228560.497847, 13227513.149279
1713388       , 2229080.493678, 13226705.631797
26402841      , 2215274.376928, 13231459.229140
103395427     , 2210326.985538, 13222478.239831
1599463       , 2236194.041185, 13228815.939493
1709348       , 2199564.351543, 13222697.348008
1713340       , 2228636.878841, 13227813.577807
25058944      , 2227227.181377, 13237271.192167
26403381      , 2230762.947223, 13228313.974937
1599462       , 2236197.402380, 13228819.641164
26894216      , 2209796.584716, 13222558.294855
26981016      , 2232790.742000, 13226521.346000
26981022      , 2232480.319000, 13226532.694000
1599031       , 2237525.215615, 13230967.277763
1599461       , 2236097.023002, 13228620.426104
25271175      , 2237742.740297, 13229945.767359
26401835      , 2206162.916357, 13222677.307329
26401841      , 2198254.726363, 13226297.402325
1599030       , 2237524.774918, 13230972.258304
1599460       , 2236099.272899, 13228624.891298
26379120      , 2203164.601342, 13235201.470358
1585986       , 2215953.003019, 13232730.850675
1728790       , 2234310.831659, 13223842.627878
1585987       , 2209548.368636, 13232630.249707
1713308       , 2230268.396866, 13227606.181286
26115128      , 2228986.225771, 13224075.068080
1713309       , 2230268.851557, 13227611.160569
103251632     , 2219192.907465, 13226914.860416
1585985       , 2215956.419824, 13232727.200271
25017649      , 2221753.977796, 13223750.656261
25929756      , 2237289.062754, 13227807.275062
26977932      , 2208745.289000, 13233306.521000
103251633     , 2219250.758534, 13226845.592192
1585982       , 2219171.937191, 13232788.969089
1713348       , 2228256.369504, 13227583.535227
26576683      , 2234321.690761, 13226138.619265
26833777      , 2203847.328000, 13228010.889000
1713349       , 2228674.295000, 13227659.677000
1585906       , 2216325.000487, 13233467.786036
1599039       , 2237102.092436, 13230871.977925
1599469       , 2236629.039491, 13229031.717139
25160510      , 2233640.629462, 13226028.754079
25373986      , 2201185.373073, 13233311.171034
26976545      , 2205526.300137, 13228354.710051
1585907       , 2215921.141829, 13233363.300272
1585981       , 2219175.583838, 13232785.548276
1599468       , 2236633.835377, 13229033.131167
26402846      , 2215930.897173, 13233375.263722
103170155     , 2228239.909270, 13221124.814624
103397280     , 2227715.000896, 13224878.637545
1585905       , 2216320.132829, 13233466.643272
1586186       , 2214681.564810, 13231130.752266
1599079       , 2237894.108313, 13230654.825130
26403386      , 2230594.091384, 13227054.626166
1585902       , 2221231.011033, 13233519.448985
1586187       , 2214686.262577, 13231132.464277
1599078       , 2237894.867366, 13230659.767178
26400492      , 2221214.213423, 13222071.973505
1585944       , 2208511.564917, 13233113.811838
26401846      , 2197405.426450, 13228788.447019
103060499     , 2218845.575026, 13223933.500535
1585945       , 2208798.896000, 13232976.424000
1586185       , 2215048.115842, 13231273.327930
1586536       , 2199651.231514, 13229031.549036
1585901       , 2221226.661852, 13233516.982281
1586182       , 2217314.284819, 13231284.346269
1586537       , 2199646.327233, 13229032.522701
1715734       , 2229371.782000, 13221293.105000
1585943       , 2208507.048380, 13233115.956807
1586183       , 2217311.320352, 13231280.319864
1586534       , 2199418.479514, 13229259.957036
1715735       , 2229372.519353, 13221298.050332
1585940       , 2208028.041378, 13233210.442803
1585989       , 2203834.453000, 13232510.296000
1586106       , 2209804.657378, 13231896.287803
1586535       , 2199414.910835, 13229263.459111
1715732       , 2229326.940000, 13220764.088000
1715777       , 2232917.913000, 13227464.652000
1585941       , 2208024.438819, 13233206.975589
1586107       , 2209804.896616, 13231891.293530
1715774       , 2233006.675000, 13227650.324000
1729305       , 2234832.954659, 13225712.288946
1586104       , 2215201.812630, 13231877.953829
1586533       , 2198351.482000, 13228968.286000
1715730       , 2229204.577819, 13220345.537269
1729304       , 2235050.848229, 13225659.589704
1586105       , 2210647.358000, 13231853.584000
1586146       , 2216648.007819, 13231612.381269
1715731       , 2229199.645876, 13220346.359421
1715772       , 2233374.201663, 13226626.349605
1586102       , 2216483.918000, 13231896.564000
1586147       , 2216649.685751, 13231607.671222
1586572       , 2200123.795702, 13228564.671840
1715773       , 2233104.731000, 13227860.392000
1729302       , 2235274.549439, 13225598.419917
1585908       , 2215918.723481, 13233358.924019
1586103       , 2215202.838814, 13231873.060267
1586144       , 2200679.183877, 13232118.754672
1586924       , 2228776.783000, 13237519.721000
1715770       , 2233395.120902, 13226235.849772
25476914      , 2224191.789563, 13226971.234946
1586100       , 2215754.551212, 13231926.949182
1586145       , 2199818.424000, 13231286.151000
1586570       , 2204762.323000, 13228591.219000
1715771       , 2233371.247000, 13226622.316000
1729300       , 2235265.295290, 13225710.323050
1586142       , 2201185.816000, 13231688.724000
1586571       , 2200123.647514, 13228559.674036
1586922       , 2228085.408939, 13236580.855253
1586143       , 2201249.808487, 13231383.241783
1586923       , 2228016.420000, 13236240.955000
1586964       , 2226973.775629, 13237843.561928
1585949       , 2219690.170843, 13233030.252277
1586140       , 2200966.110000, 13232069.419000
1586920       , 2228692.509758, 13236377.161636
