Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"25255047", 22.87, 1,    13677.1,   -3.3,    1.0358, 2,    13662.7, -123.7,    1.0347, 3,    13712.2,  116.6,    1.0385
"1714218", 22.87, 1,    13677.2,   -3.3,    1.0358, 2,    13662.7, -123.7,    1.0347, 3,    13712.3,  116.6,    1.0385
"1713917", 22.87, 1,    13676.1,   -3.2,    1.0358, 2,    13661.4, -123.6,    1.0346, 3,      13711,  116.7,    1.0384
"1713919", 22.87, 1,      13676,   -3.2,    1.0357, 2,    13661.4, -123.6,    1.0346, 3,      13711,  116.7,    1.0384
"1586558", 22.87, 2,    13608.5, -125.1,    1.0306, 0, 0, 0, 0, 0, 0, 0, 0
"26402846", 22.87, 1,    438.757,  115.3,  0.033229, 2,    438.757,  115.3,  0.033229, 3,    13598.9,  115.3,    1.0299
"1709303", 22.87, 1,    13434.7,   -5.4,    1.0175, 0, 0, 0, 0, 0, 0, 0, 0
"26873580", 22.87, 1,    13379.2,   -5.6,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"26873581", 22.87, 1,    13379.2,   -5.6,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"103570117", 22.87, 1,    13674.4,   -2.2,    1.0356, 2,      13640, -122.5,     1.033, 3,    13672.1,  117.8,    1.0355
"25271174", 22.87, 3,      13672,  117.8,    1.0354, 0, 0, 0, 0, 0, 0, 0, 0
"1708727", 22.87, 2,    13633.2, -125.2,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"1708722", 22.87, 2,      13633, -125.2,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"152J55_103161240", 22.87, 1,    13635.5,   -3.5,    1.0327, 2,    13644.4, -123.9,    1.0334, 3,    13699.7,  116.5,    1.0375
"1710409", 22.87, 1,    13701.6,   -4.2,    1.0377, 2,    13706.4, -124.4,     1.038, 3,    13657.2,  115.8,    1.0343
"1710408", 22.87, 1,    13697.2,   -4.2,    1.0374, 2,    13704.2, -124.4,    1.0379, 3,      13656,  115.8,    1.0342
"1709590", 22.87, 1,    439.851, -125.1,  0.033312, 2,    13632.8, -125.1,    1.0325, 3,    439.851, -125.1,  0.033312
