Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Transformer.COMMONWEALTH_RET_01311205_1",   1,       351.9,        98.5,         0.0,         0.0,         0.0,         0.0
"Transformer.COMMONWEALTH_RET_01311205_1",   2,      -351.9,       -98.4
"Transformer.COMMONWEALTH_RET_01311205_2",   1,       364.3,        94.9,         0.0,         0.0,         0.0,         0.0
"Transformer.COMMONWEALTH_RET_01311205_2",   2,      -364.3,       -94.8
"Transformer.COMMONWEALTH_RET_01311205_3",   1,       293.4,        95.6,         0.0,         0.0,         0.0,         0.0
"Transformer.COMMONWEALTH_RET_01311205_3",   2,      -293.4,       -95.5
"Line.264256886"        ,   1,        -0.0,        -0.3,         0.0,         0.0,         0.0,         0.0
"Line.264256886"        ,   2,         0.0,         0.0
"Line.263962003"        ,   1,         6.9,         1.7,         0.0,         0.0,         0.0,         0.0
"Line.263962003"        ,   2,        -6.9,        -1.7
"Line.260761331"        ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.260761331"        ,   2,         0.0,         0.0
"Line.264256882"        ,   1,        -0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.264256882"        ,   2,         0.0,         0.0
"Line.260761151"        ,   1,         1.1,         0.4,         0.0,         0.0,         0.0,         0.0
"Line.260761151"        ,   2,        -1.1,        -0.4
"Line.260761156"        ,   1,        -0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.260761156"        ,   2,        -0.0,        -0.0
"Line.260761296"        ,   1,         1.4,         0.3,         0.0,         0.0,         0.0,         0.0
"Line.260761296"        ,   2,        -1.4,        -0.4
"Line.260761311"        ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.260761311"        ,   2,         0.0,         0.0
"Line.260760191"        ,   1,         0.0,        -0.4,         0.0,         0.0,         0.0,         0.0
"Line.260760191"        ,   2,        -0.0,         0.0
"Line.261302049"        ,   1,         4.8,         1.1,         0.0,         0.0,         0.0,         0.0
"Line.261302049"        ,   2,        -4.8,        -1.1
"Line.263530723"        ,   1,         6.8,         1.3,         0.0,         0.0,         0.0,         0.0
"Line.263530723"        ,   2,        -6.8,        -1.6
"Line.260761094"        ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.260761094"        ,   2,         0.0,         0.0
"Line.261302044"        ,   1,         2.6,         0.6,         0.0,         0.0,         0.0,         0.0
"Line.261302044"        ,   2,        -2.6,        -0.7
"Line.263530682"        ,   1,         2.7,         0.7,         0.0,         0.0,         0.0,         0.0
"Line.263530682"        ,   2,        -2.7,        -0.7
"Line.263530687"        ,   1,         1.8,         0.5,         0.0,         0.0,         0.0,         0.0
"Line.263530687"        ,   2,        -1.8,        -0.5
"Line.260761119"        ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.260761119"        ,   2,         0.0,         0.0
"Line.264308703"        ,   1,         0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
"Line.264308703"        ,   2,         0.0,         0.0
"Line.617632356"        ,   1,         1.0,         0.2,         0.0,         0.0,         0.0,         0.0
"Line.617632356"        ,   2,        -1.0,        -0.2
"Line.263530700"        ,   1,         1.3,         0.3,         0.0,         0.0,         0.0,         0.0
"Line.263530700"        ,   2,        -1.3,        -0.3
"Line.263997294"        ,   1,         2.5,         0.8,         0.0,         0.0,         0.0,         0.0
"Line.263997294"        ,   2,        -2.5,        -0.8
"Line.617632351"        ,   1,         1.7,         0.4,         0.0,         0.0,         0.0,         0.0
"Line.617632351"        ,   2,        -1.7,        -0.4
"Line.263530705"        ,   1,         0.0,        -0.1,         0.0,         0.0,         0.0,         0.0
"Line.263530705"        ,   2,        -0.0,         0.0
"Line.263997299"        ,   1,        -0.0,        -0.0,         0.0,         0.0,         0.0,         0.0
