[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Comments
PEC_1/0_AL_TRXLPE_I_C,0.419307,0.711433,0.116873,0.128881,1.516180,0.000000,135.000000,135.000000,135.000000,135.000000,135.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_1/0_AL-J_TRXLPE_D_B,0.649774,1.705450,0.097375,0.617686,33.946701,0.000000,236.000000,236.000000,236.000000,236.000000,236.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_1/0_AL-J_TRXLPE_I_C,0.649774,1.705450,0.097375,0.617686,33.946701,0.000000,236.000000,236.000000,236.000000,236.000000,236.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_1/0_CU_TRXLPE_D_B,0.321507,0.166140,0.515794,0.105831,42.969299,0.000000,217.000000,217.000000,217.000000,217.000000,217.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_1/0_CU_TRXLPE_I_C,0.321507,0.166140,0.515794,0.105831,42.969299,0.000000,217.000000,217.000000,217.000000,217.000000,217.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_1000_AL_TRXLPE_D_B,0.066680,0.081969,0.311700,0.092356,56.364300,0.000000,625.000000,625.000000,625.000000,625.000000,625.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_1000_AL_TRXLPE_I_C,0.066680,0.081969,0.311700,0.092356,56.364300,0.000000,625.000000,625.000000,625.000000,625.000000,625.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_2/0_AL_TRXLPE_D_B,0.336218,0.570118,0.112356,0.102201,1.516260,0.000000,223.000000,223.000000,223.000000,223.000000,223.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_2/0_AL_TRXLPE_I_C,0.336218,0.570118,0.112356,0.102201,1.516260,0.000000,223.000000,223.000000,223.000000,223.000000,223.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_2/0_CU_TRXLPE_D_B,0.207723,0.094788,0.939619,0.891705,58.657001,0.000000,245.000000,245.000000,245.000000,245.000000,245.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_2/0_CU_TRXLPE_I_C,0.207723,0.094788,0.939619,0.891705,58.657001,0.000000,245.000000,245.000000,245.000000,245.000000,245.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_250_CU_TRXLPE_D_B,0.099228,0.279268,0.260194,0.775639,2.467120,0.000000,360.000000,360.000000,360.000000,360.000000,360.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_250_CU_TRXLPE_I_C,0.099228,0.279268,0.260194,0.775639,2.467120,0.000000,360.000000,360.000000,360.000000,360.000000,360.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_300_CU_TRXLPE_D_B,0.102278,0.284017,0.089382,0.064943,4.438170,0.000000,425.000000,425.000000,425.000000,425.000000,425.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_300_CU_TRXLPE_I_C,0.102278,0.284017,0.089382,0.064943,4.438170,0.000000,425.000000,425.000000,425.000000,425.000000,425.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_350_AL_TRXLPE_D_B,0.164055,0.158688,0.480620,0.152781,47.984501,0.000000,313.000000,313.000000,313.000000,313.000000,313.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_350_AL_TRXLPE_I_C,0.164055,0.158688,0.480620,0.152781,47.984501,0.000000,313.000000,313.000000,313.000000,313.000000,313.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
